"","ct_name","d","exp_d”,“area”
"1","福島市","44",58.168141,“県北”
"2","会津若松市","25",25.375612,“会津”
"3","郡山市","60",25.375612,“県中”
"4","いわき市","68",67.907786,“いわき”
"5","白河市","17",12.85042,“県南”
"6","須賀川市","18",15.671975,“県中”
"7","喜多方市","11",10.675036,“会津”
"8","相馬市","10",7.348924,“相双”
"9","二本松市","13",11.97277,“県北”
"10","田村市","13",8.129224,“県中”
"11","南相馬市","17",13.573328,“相双”
"12","伊達市","17",13.312291,“県北”
"13","本宮市","6",6.269023,“県北”
"14","桑折町","6",2.605842,“県北”
"15","国見町","1",2.070456,“県北”
"16","川俣町","5",3.162235,“県北”
"17","大玉村","1",1.723326,“県北”
"18","鏡石町","5",2.527968,“県中”
"19","天栄村","1",1.259279,“県中”
"20","下郷町","1",1.334998,“南会津”
"21","檜枝岐村","0",0.132899,“南会津”
"22","只見町","1",1.027436,“南会津”
"23","南会津町","9",3.653121,“南会津”
"24","北塩原村","1",0.636893,“会津”
"25","西会津町","2",1.531115,“会津”
"26","磐梯町","1",0.766568,“会津”
"27","猪苗代町","4",3.224526,“会津”
"28","会津坂下町","1",3.509567,“会津”
"29","湯川村","1",0.658855,“会津”
"30","柳津町","2",0.805126,“会津”
"31","三島町","0",0.407848,“会津”
"32","金山町","1",0.531824,“会津”
"33","昭和村","0",0.32785,“会津”
"34","会津美里町","9",4.636978,“会津”
"35","西郷村","5",3.950623,“県南”
"36","泉崎村","0",1.352458,“県南”
"37","中島村","0",1.013841,“県南”
"38","矢吹町","3",3.685508,“県南”
"39","棚倉町","4",2.969165,“県南”
"40","矢祭町","2",1.300456,“県南”
"41","塙町","1",2.008611,“県南”
"42","鮫川村","1",0.796393,“県南”
"43","石川町","6",3.618223,“県中”
"44","玉川村","1",1.438024,“県中”
"45","平田村","1",1.385329,“県中”
"46","浅川町","3",1.381659,“県中”
"47","古殿町","1",1.205864,“県中”
"48","三春町","6",3.694287,“県中”
"49","小野町","3",2.244206,“県中”
"50","広野町","0",1.060691,“相双”
"51","楢葉町","1",1.512063,“相双”
"52","富岡町","3",2.926424,“相双”
"53","川内村","1",0.590485,“相双”
"54","大熊町","1",2.185874,“相双”
"55","双葉町","2",1.30844,“相双”
"56","浪江町","2",3.95042,“相双”
"57","葛尾村","0",0.317573,“相双”
"58","新地町","0",1.60963,“相双”
"59","飯館村","2",1.262074,“相双”
